Reference,Allegro reference,Value,MPN,Manufacturer,Per board,Selected boards,Selected quantity,Fleet 5 quantity,Status,Population,Review note,Footprint,Source confidence,Source,Source line,Description
JTAG1,JTAG,FTSH-105-XX-X-DV,FTSH-105-01-L-DV-K,Samtec,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:SAMTEC_FTSH-105-XX-X-DV,HIGH,docs/BOM.csv,25,"2x5 1.27 mm SMT header, keyed (ARM Cortex 10-pin debug)"
L1,L1,4.7uH,SLF7045T-4R7M2R0-PF,TDK,1,1,1,5,HOLD,base population,Source confidence: HIGH (obsolete); confirm the suggested selection; Source BOM flags the original inductor obsolete; any replacement needs electrical and footprint review.,LoRa_Boat_Controller:IND_7045_TDK,HIGH (obsolete),docs/BOM.csv,26,"4.7 uH 20% 2.0 A shielded power inductor 7x7x4.5 mm - EOL (TDK PCN 2024-07-30, last ship 2026-12-31); substitute VLS6045EX-4R7M-H needs a new footprint"
L3,L3,BLM15 ferrite,BLM15AG601SN1D,Murata,1,1,1,5,HOLD,base population,"Source confidence: TBD; confirm the suggested selection; Source BOM identifies this ferrite as a typical selection, not an established original value.",LoRa_Boat_Controller:IND_BLM15_0402_MUR-L,TBD,docs/BOM.csv,27,Ferrite bead 600 ohm @100 MHz 300 mA 0402 - value not specified in the design (typical pick)
L4,L4,BLM15 ferrite,BLM15AG601SN1D,Murata,1,1,1,5,HOLD,base population,"Source confidence: TBD; confirm the suggested selection; Source BOM identifies this ferrite as a typical selection, not an established original value.",LoRa_Boat_Controller:IND_BLM15_0402_MUR-L,TBD,docs/BOM.csv,28,Ferrite bead 600 ohm @100 MHz 300 mA 0402 - value not specified in the design (typical pick)
LORAMODULE1,LORAMODULE,PPTC051LFBN-RC,PPTC051LFBN-RC,Sullins Connector Solutions,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CONN5_1LFBN-RC_SUL,HIGH,docs/BOM.csv,29,"1x5 2.54 mm female header, through-hole"
R1,R1,15k,ERJ-2RKF1502X,Panasonic,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:RC0402N_PAN-M,MEDIUM,docs/BOM.csv,30,15 kohm 1% 0.1 W thick film 0402
R2,R2,4.7k,RC0603FR-074K7L,Yageo,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:RC0603N_YAG-M,MEDIUM,docs/BOM.csv,31,4.7 kohm 1% 0.1 W thick film 0603
R3,R3,51,RC0402FR-0751RL,Yageo,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:RC0402N_YAG-M,MEDIUM,docs/BOM.csv,32,51 ohm 1% 1/16 W thick film 0402
R4,R4,5.1k,ERJ-2RKF5101X,Panasonic,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:RC0402N_PAN-M,MEDIUM,docs/BOM.csv,33,5.1 kohm 1% 0.1 W thick film 0402
R5,R5,30k,RC0805FR-0730KL,Yageo,1,1,1,5,HOLD,base population,Source confidence: MEDIUM (substitute); confirm the suggested selection,LoRa_Boat_Controller:RES_R0805_ROM-M,MEDIUM (substitute),docs/BOM.csv,34,"30 kohm 1% 0805 thick film (design intent ROHM MCR10EZPF3002, no longer orderable)"
R6,R6,10k,RC1005F103CS,Samsung Electro-Mechanics,1,1,1,5,HOLD,base population,Source confidence: MEDIUM; confirm the suggested selection,LoRa_Boat_Controller:RES_1005_SAM-M,MEDIUM,docs/BOM.csv,35,10 kohm 1% 1/16 W thick film 0402
SPEEDCONTROLLER1,SPEEDCONTROLLER,PPTC031LFBN-RC,PPTC031LFBN-RC,Sullins Connector Solutions,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CONN_PPTC031_SUL,HIGH,docs/BOM.csv,36,"1x3 2.54 mm female header, through-hole"
STEERINGSERVO1,STEERINGSERVO,PPTC031LFBN-RC,PPTC031LFBN-RC,Sullins Connector Solutions,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:CONN_PPTC031_SUL,HIGH,docs/BOM.csv,37,"1x3 2.54 mm female header, through-hole"
TP1,TP1,TP,,,1,1,1,5,BOARD_FEATURE,bare PCB feature,Not a purchased component,LoRa_Boat_Controller:amv_test_point,TBD,docs/BOM.csv,38,Bare plated test-point pad 3.4 mm / 1.4 mm hole (no part; Keystone 5020 would need a footprint change)
TP3,TP3,TP,,,1,1,1,5,BOARD_FEATURE,bare PCB feature,Not a purchased component,LoRa_Boat_Controller:amv_test_point,TBD,docs/BOM.csv,39,Bare plated test-point pad 3.4 mm / 1.4 mm hole (no part; Keystone 5020 would need a footprint change)
TP4,TP4,TP,,,1,1,1,5,BOARD_FEATURE,bare PCB feature,Not a purchased component,LoRa_Boat_Controller:amv_test_point,TBD,docs/BOM.csv,40,Bare plated test-point pad 3.4 mm / 1.4 mm hole (no part; Keystone 5020 would need a footprint change)
TP5,TP5,TP,,,1,1,1,5,BOARD_FEATURE,bare PCB feature,Not a purchased component,LoRa_Boat_Controller:amv_test_point,TBD,docs/BOM.csv,41,Bare plated test-point pad 3.4 mm / 1.4 mm hole (no part; Keystone 5020 would need a footprint change)
U3,U3,STM32F446RET6,STM32F446RET6,STMicroelectronics,1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:LQFP64-10x10mm,HIGH,docs/BOM.csv,42,"Arm Cortex-M4 180 MHz, 512 KB flash, 128 KB SRAM, LQFP-64 (TR = tape-and-reel of the same die)"
U5,U5,TCAN1042HDRQ1,TCAN1042HDRQ1,Texas Instruments,1,1,1,5,HOLD,base population,Source BOM reports a lifecycle concern; confirm exact orderable part and supply. V1 CAN routing also requires correction.,LoRa_Boat_Controller:D0008A_L,HIGH,docs/BOM.csv,43,"Automotive CAN FD transceiver, 5 V VCC, SOIC-8 (Mouser flags EOL; TI successor TCAN1044A-Q1)"
U6,U6,R1240N001B-TR-FE,R1240N001B-TR-FE,Nisshinbo Micro Devices (ex-Ricoh),1,1,1,5,CANDIDATE,base population,"Exact MPN text from source BOM; live availability, lifecycle, suffix, price and package not independently reverified",LoRa_Boat_Controller:SOT-23-6W_PE-SOT23-6W-0512_NMD,HIGH,docs/BOM.csv,44,"1.25 MHz asynchronous step-down DC/DC, 4.5-30 V in, 1.2 A, SOT-23-6W"
VIN1,VIN,Battery+,,,1,1,1,5,BOARD_FEATURE,bare PCB feature,Not a purchased component,LoRa_Boat_Controller:amv_con1,n/a,docs/BOM.csv,45,Bare battery wire solder pad 1.6 mm / 0.6 mm hole (no part)
